Timestamp,Classification,Accuracy
2023-01-31 02:02:49,"Inside, small room",5.86
2023-01-31 02:02:50,Synthesizer,8.2
2023-01-31 02:02:54,Speech,5.86
2023-01-31 02:02:55,"Inside, small room",5.86
2023-01-31 02:02:56,Speech,5.86
2023-01-31 02:02:59,Speech,5.86
2023-01-31 02:03:00,Cacophony,5.86
2023-01-31 02:03:01,Aircraft,5.86
2023-01-31 02:03:04,Synthesizer,19.92
2023-01-31 02:03:06,Speech,8.2
2023-01-31 02:03:08,Speech,4.3
2023-01-31 02:03:09,Speech,4.3
2023-01-31 02:03:10,Speech,4.3
2023-01-31 02:03:12,Speech,10.94
2023-01-31 02:03:13,Speech,10.94
2023-01-31 02:03:14,Speech,14.84
2023-01-31 02:03:16,Speech,26.17
2023-01-31 02:03:17,"Inside, small room",8.2
2023-01-31 02:03:18,Speech,19.92
2023-01-31 02:03:21,Speech,8.2
2023-01-31 02:03:22,Speech,3.12
2023-01-31 02:03:23,Speech,5.86
2023-01-31 02:03:25,Speech,5.86
2023-01-31 02:03:26,Speech,14.84
2023-01-31 02:03:27,Speech,4.3
2023-01-31 02:03:29,Speech,4.3
2023-01-31 02:03:30,Speech,5.86
2023-01-31 02:03:31,Speech,19.92
2023-01-31 02:03:33,Vehicle,4.3
2023-01-31 02:03:34,Speech,4.3
2023-01-31 02:03:37,Speech,3.12
2023-01-31 02:03:39,Microwave oven,8.2
2023-01-31 02:03:40,Speech,5.86
2023-01-31 02:04:18,Speech,5.86
2023-01-31 02:04:19,"Inside, small room",4.3
2023-01-31 02:04:21,"Inside, small room",4.3
2023-01-31 02:09:21,Speech,4.3
2023-01-31 02:09:22,Speech,4.3
2023-01-31 02:09:24,Speech,4.3
2023-01-31 02:09:25,Speech,4.3
2023-01-31 02:09:26,Speech,4.3
2023-01-31 02:09:28,Speech,4.3
2023-01-31 02:09:29,Speech,4.3
2023-01-31 02:09:30,Speech,4.3
2023-01-31 02:09:32,Speech,4.3
2023-01-31 02:09:33,Speech,4.3
2023-01-31 02:09:34,Speech,4.3
2023-01-31 02:09:36,Speech,4.3
2023-01-31 02:09:37,Speech,4.3
2023-01-31 02:09:38,Speech,4.3
2023-01-31 02:09:40,Speech,4.3
2023-01-31 02:09:41,Speech,4.3
2023-01-31 02:09:42,Speech,4.3
2023-01-31 02:09:44,Speech,4.3
2023-01-31 02:09:45,Speech,4.3
2023-01-31 02:09:46,Speech,4.3
2023-01-31 02:09:48,Speech,4.3
2023-01-31 02:09:49,Speech,4.3
2023-01-31 02:09:50,Speech,4.3
2023-01-31 02:09:52,Speech,4.3
2023-01-31 02:09:53,Speech,4.3
2023-01-31 02:09:54,Speech,4.3
2023-01-31 02:09:56,Speech,4.3
2023-01-31 02:09:57,Speech,4.3
2023-01-31 02:09:58,Speech,4.3
2023-01-31 02:10:00,Speech,4.3
2023-01-31 02:10:01,Speech,4.3
2023-01-31 02:10:04,Speech,4.3
2023-01-31 02:10:16,Speech,4.3
2023-01-31 02:10:18,Speech,4.3
2023-01-31 02:10:21,Speech,4.3
2023-01-31 02:10:24,Speech,4.3
2023-01-31 02:10:26,Speech,4.3
2023-01-31 02:10:29,Speech,4.3
2023-01-31 02:10:32,Speech,4.3
2023-01-31 02:10:35,Speech,4.3
2023-01-31 02:10:40,Speech,4.3
2023-01-31 02:10:42,Speech,4.3
2023-01-31 02:10:46,Speech,4.3
2023-01-31 02:10:51,Speech,4.3
2023-01-31 02:10:54,Speech,4.3
2023-01-31 02:11:00,Speech,4.3
2023-01-31 02:11:06,Speech,4.3
2023-01-31 02:11:16,Speech,4.3
2023-01-31 02:11:25,Speech,4.3
2023-01-31 02:15:07,Speech,4.3
2023-01-31 02:15:10,Speech,4.3
2023-01-31 02:15:46,Speech,4.3
2023-01-31 02:22:58,Speech,4.3
2023-01-31 02:23:07,Speech,4.3
2023-01-31 02:24:41,Speech,4.3
